WorkerID 	 TimeReceived 	  ParticipantIP 	 Controller 	 Item 	 Element 	 Type 	 Group 	 WordNumber 	 Word 	 ReadingTime 	 Newline 	 Sentence 
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	Form	1	0	instructions	NULL	worker_id	AT3C00TKZK13L
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	Form	1	0	instructions	NULL	consent	yes
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	Form	1	0	instructions	NULL	_REACTION_TIME_	14511
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	DashedSentence	4	0	practice1	NULL	1	Someone	356	False	Someone wanted me to go to the movies last night.
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	DashedSentence	4	0	practice1	NULL	2	wanted	330	False	Someone wanted me to go to the movies last night.
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	DashedSentence	4	0	practice1	NULL	3	me	228	False	Someone wanted me to go to the movies last night.
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	DashedSentence	4	0	practice1	NULL	4	to go	218	False	Someone wanted me to go to the movies last night.
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	DashedSentence	4	0	practice1	NULL	5	to	341	False	Someone wanted me to go to the movies last night.
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	DashedSentence	4	0	practice1	NULL	6	the movies	272	False	Someone wanted me to go to the movies last night.
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	DashedSentence	4	0	practice1	NULL	7	last night.	335	False	Someone wanted me to go to the movies last night.
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	DashedSentence	5	0	practice2	NULL	1	I	344	False	I discovered that citizens signed petitions against fracking.
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	DashedSentence	5	0	practice2	NULL	2	discovered	305	False	I discovered that citizens signed petitions against fracking.
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	DashedSentence	5	0	practice2	NULL	3	that	244	False	I discovered that citizens signed petitions against fracking.
AT3C00TKZK13L	1527865776	c41fe127853e1055c9e98f40cdbdbe41	DashedSentence	5	0	practice2	NULL	4	citizens	273	False	I discovered that citizens signed petitions against fracking.
