WorkerID 	 TimeReceived 	  ParticipantIP 	 Controller 	 Item 	 Element 	 Type 	 Group 	 WordNumber 	 Word 	 ReadingTime 	 Newline 	 Sentence 
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	Form	1	0	instructions	NULL	worker_id	A1LRJ2MQD4AMES
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	Form	1	0	instructions	NULL	consent	yes
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	Form	1	0	instructions	NULL	_REACTION_TIME_	7948
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	4	0	practice1	NULL	1	Someone	352	False	Someone wanted me to go to the movies last night.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	4	0	practice1	NULL	2	wanted	320	False	Someone wanted me to go to the movies last night.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	4	0	practice1	NULL	3	me	207	False	Someone wanted me to go to the movies last night.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	4	0	practice1	NULL	4	to go	240	False	Someone wanted me to go to the movies last night.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	4	0	practice1	NULL	5	to	232	False	Someone wanted me to go to the movies last night.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	4	0	practice1	NULL	6	the movies	177	False	Someone wanted me to go to the movies last night.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	4	0	practice1	NULL	7	last night.	464	False	Someone wanted me to go to the movies last night.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	5	0	practice2	NULL	1	I	296	False	I discovered that citizens signed petitions against fracking.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	5	0	practice2	NULL	2	discovered	337	False	I discovered that citizens signed petitions against fracking.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	5	0	practice2	NULL	3	that	200	False	I discovered that citizens signed petitions against fracking.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	5	0	practice2	NULL	4	citizens	352	False	I discovered that citizens signed petitions against fracking.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	5	0	practice2	NULL	5	signed	199	False	I discovered that citizens signed petitions against fracking.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	5	0	practice2	NULL	6	petitions	248	False	I discovered that citizens signed petitions against fracking.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	5	0	practice2	NULL	7	against fracking.	889	False	I discovered that citizens signed petitions against fracking.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	Question	5	1	practice2	NULL	[Comprehension Question]: Did the citizens oppose the petitions against fracking?	False	1	3135
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	6	0	practice3	NULL	1	She	367	False	She wanted to give her dog fried chicken yesterday.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	6	0	practice3	NULL	2	wanted	270	False	She wanted to give her dog fried chicken yesterday.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	6	0	practice3	NULL	3	to	232	False	She wanted to give her dog fried chicken yesterday.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	6	0	practice3	NULL	4	give	232	False	She wanted to give her dog fried chicken yesterday.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	6	0	practice3	NULL	5	her dog	184	False	She wanted to give her dog fried chicken yesterday.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	6	0	practice3	NULL	6	fried chicken	200	False	She wanted to give her dog fried chicken yesterday.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	6	0	practice3	NULL	7	yesterday.	464	False	She wanted to give her dog fried chicken yesterday.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	7	0	practice4	NULL	1	They	320	False	They fed her baby turtle carrots again.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	7	0	practice4	NULL	2	fed	176	False	They fed her baby turtle carrots again.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	7	0	practice4	NULL	3	her	233	False	They fed her baby turtle carrots again.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	7	0	practice4	NULL	4	baby	344	False	They fed her baby turtle carrots again.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	7	0	practice4	NULL	5	turtle	263	False	They fed her baby turtle carrots again.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	7	0	practice4	NULL	6	carrots	321	False	They fed her baby turtle carrots again.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	7	0	practice4	NULL	7	again.	424	False	They fed her baby turtle carrots again.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	Question	7	1	practice4	NULL	[Comprehension Question]: Did a baby turtle eat carrots?	False	1	3768
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	Form	2	0	begin	NULL	_REACTION_TIME_	943
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	27	0	block7-filler-List3	NULL	1	We	288	False	We persuade the patients to quit drinking alcohol.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	27	0	block7-filler-List3	NULL	2	persuade	319	False	We persuade the patients to quit drinking alcohol.
A1LRJ2MQD4AMES	1527860469	09e8cfa59254761a111a02f58d2dc86e	DashedSentence	27	0	block7-filler-List3	NULL	3	the patients	599	False	We persuade the patients to quit drinking alcohol.
